5 , 16/04/2012 06:24:06:558 , ApplicationProcessor , checkDuplicateApplications , approved 360 app ref no 130911000391
5 , 16/04/2012 06:24:06:559 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:561 , ApplicationProcessor , checkDuplicateApplications , approved 361 app ref no 150911000593
5 , 16/04/2012 06:24:06:562 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:564 , ApplicationProcessor , checkDuplicateApplications , approved 362 app ref no 230911000287
5 , 16/04/2012 06:24:06:565 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:568 , ApplicationProcessor , checkDuplicateApplications , approved 363 app ref no 230911000302
5 , 16/04/2012 06:24:06:570 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:572 , ApplicationProcessor , checkDuplicateApplications , approved 364 app ref no 011011000045
5 , 16/04/2012 06:24:06:575 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:576 , ApplicationProcessor , checkDuplicateApplications , approved 365 app ref no 011011000053
5 , 16/04/2012 06:24:06:579 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:581 , ApplicationProcessor , checkDuplicateApplications , approved 366 app ref no 041011000359
5 , 16/04/2012 06:24:06:583 , ApplicationProcessor , checkDuplicateApplications , Approved First Name :MANMOHAN
5 , 16/04/2012 06:24:06:585 , ApplicationProcessor , checkDuplicateApplications , PEnding First Name :JAGDISH
5 , 16/04/2012 06:24:06:586 , ApplicationProcessor , checkDuplicateApplications , Approved Middle Name :null
5 , 16/04/2012 06:24:06:588 , ApplicationProcessor , checkDuplicateApplications , Approved Middle name :null for app ref noCG20110173306TC
5 , 16/04/2012 06:24:06:590 , ApplicationProcessor , checkDuplicateApplications , Pending Middle name:null for cgpan090412000254
5 , 16/04/2012 06:24:06:591 , ApplicationProcessor , checkDuplicateApplications , Approved Address :S/O SH. SUKHDEV SHARMA NEAR HOTEL SUDHA, UNA ROAD AMB DISTT UNA 
5 , 16/04/2012 06:24:06:593 , ApplicationProcessor , checkDuplicateApplications , Approved Address :S/O CHARAN DASS VILLAGE CHATARA PO CHATARA DISTT UNA
